source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
C_rand,aligned,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,aligned,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,aligned,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:bound_relation,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:bound_relation,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:bound_relation,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:bound_relation,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:bound_relation,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:bound_relation,property_to_relation,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:bound_relation,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:bound_relation,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:bound_relation,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:multi_argument_function,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:multi_argument_function,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:multi_argument_function,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:multi_argument_function,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:multi_argument_function,meta_law,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:multi_argument_function,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:multi_argument_function,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:multi_argument_function,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:multi_argument_function,unification,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:relation_arity_3,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:relation_arity_3,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:relation_arity_3,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:relation_arity_3,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:relation_arity_3,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:relation_arity_3,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:relation_arity_3,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:relation_arity_3,triadic_relation_reification,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C_rand,mask_signature:relation_arity_3,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:self_composed_function,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:self_composed_function,coordinate_transform,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:self_composed_function,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:self_composed_function,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:self_composed_function,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:self_composed_function,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:self_composed_function,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:self_composed_function,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:self_composed_function,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:shared_rule_binding,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:shared_rule_binding,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,mask_signature:shared_rule_binding,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,mask_signature:shared_rule_binding,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:shared_rule_binding,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,mask_signature:shared_rule_binding,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,mask_signature:shared_rule_binding,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,mask_signature:shared_rule_binding,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:shared_rule_binding,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,mask_signature:temporally_indexed_recurrence,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
