source,policy,unit,stage,passed,denominator,rate
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J2,940,1500,0.6266666666666667
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J3,111,1500,0.074
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J4,75,1500,0.05
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J5,75,1500,0.05
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J1,1068,1500,0.712
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J2,939,1500,0.626
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J3,110,1500,0.07333333333333333
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J4,74,1500,0.04933333333333333
C_rand,mask_signature:unobserved_selector,archived_candidate_slot,J5,74,1500,0.04933333333333333
C_rand,motif_disabled,archived_candidate_slot,J0,1500,1500,1.0
C_rand,motif_disabled,archived_candidate_slot,J1,1040,1500,0.6933333333333334
C_rand,motif_disabled,archived_candidate_slot,J2,1040,1500,0.6933333333333334
C_rand,motif_disabled,archived_candidate_slot,J3,0,1500,0.0
C_rand,motif_disabled,archived_candidate_slot,J4,0,1500,0.0
C_rand,motif_disabled,archived_candidate_slot,J5,0,1500,0.0
C_rand,role_action_blind_binding,archived_candidate_slot,J0,1500,1500,1.0
C_rand,role_action_blind_binding,archived_candidate_slot,J1,1070,1500,0.7133333333333334
C_rand,role_action_blind_binding,archived_candidate_slot,J2,929,1500,0.6193333333333333
C_rand,role_action_blind_binding,archived_candidate_slot,J3,101,1500,0.06733333333333333
C_rand,role_action_blind_binding,archived_candidate_slot,J4,82,1500,0.05466666666666667
C_rand,role_action_blind_binding,archived_candidate_slot,J5,82,1500,0.05466666666666667
DeepSeek_grammar,aligned,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,aligned,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,aligned,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,aligned,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,aligned,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,aligned,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:bound_relation,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J3,0,288,0.0
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J4,0,288,0.0
DeepSeek_grammar,mask_signature:multi_argument_function,archived_candidate_slot,J5,0,288,0.0
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:relation_arity_3,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:self_composed_function,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:shared_rule_binding,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_dependency,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J3,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J4,21,288,0.07291666666666667
DeepSeek_grammar,mask_signature:unobserved_selector,archived_candidate_slot,J5,21,288,0.07291666666666667
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J2,236,288,0.8194444444444444
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J3,0,288,0.0
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J4,0,288,0.0
DeepSeek_grammar,motif_disabled,archived_candidate_slot,J5,0,288,0.0
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J0,288,288,1.0
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J1,236,288,0.8194444444444444
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J2,226,288,0.7847222222222222
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J3,11,288,0.03819444444444445
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J4,11,288,0.03819444444444445
DeepSeek_grammar,role_action_blind_binding,archived_candidate_slot,J5,11,288,0.03819444444444445
